"StationID_unique","meanLon","meanLat"
"CSMT",-122.41339754902,47.6906382352941
"CSMU",-122.487573333333,47.5643222222222
"CSMV",-122.475328333333,47.5626072222222
"CSNS",-122.695874561404,47.9959574561404
"CSNU",-122.585620098039,47.9440794117647
"CSNV.1",-122.478508333333,47.8558700980392
"CSNV.2",-122.459825,47.8171666666667
"CSSS",-122.480660967949,47.3691269230769
"CSSU",-122.4737734375,47.285221875
"CSSV",-122.497531547619,47.3156541666667
"CSXS.1",-122.36375,47.5878333333333
"CSXS.10",-122.674166666667,48.0608333333333
"CSXS.11",-122.708083333333,48.2253333333333
"CSXS.14",-122.493333333333,47.7345
"CSXS.16",-122.700183333333,48.1701583333333
"CSXS.17.8",-122.540166666667,47.7185
"CSXS.18.2",-122.593720833333,47.6403125
"CSXS.19",-122.392777777778,47.7061944444444
"CSXS.20",-122.595975,47.5651291666667
"CSXS.22",-122.5287125,47.5681625
"CSXS.23",-122.538805555556,48.0607222222222
"CSXS.24",-122.563375,47.307225
"CSXS.26",-122.5795,48.2583833333333
"CSXS.27",-122.490808333333,47.604625
"CSXS.28",-122.409166666667,47.6330277777778
"CSXS.29.15",-122.4334,47.8879083333333
"CSXS.3.0",-122.449916666667,47.9394166666667
"CSXS.4",-122.762796666667,48.078075
"CSXS.5",-122.615133333333,48.1379138888889
"CSXS.6",-122.565666666667,48.3734166666667
"CSXS.9.7",-122.498622222222,47.6482333333333
"CSXT.10",-122.510783333333,47.9367666666667
"CSXT.11.7",-122.575375,48.2259166666667
"CSXT.11.9",-122.593472222222,48.2141666666667
"CSXT.12",-122.433333333333,48.13925
"CSXT.14",-122.406916666667,48.0455833333333
"CSXT.15.3",-122.659825,47.99481875
"CSXT.16",-122.66825,48.0850833333333
"CSXT.17.1",-122.390555555556,47.7594166666667
"CSXT.19",-122.634775,48.1149833333333
"CSXT.2",-122.393858333333,47.8929583333333
"CSXT.20",-122.633308333333,47.9410791666667
"CSXT.21",-122.7492625,48.1674583333333
"CSXT.22",-122.353616666667,47.3451916666667
"CSXT.23",-122.597641666667,47.9833020833333
"CSXT.24.13",-122.548230555556,47.3138222222222
"CSXT.25.18",-122.473916666667,47.54625
"CSXT.27",-122.523016666667,47.730225
"CSXT.28",-122.418575,47.5674583333333
"CSXT.29",-122.398633333333,47.6212333333333
"CSXT.5",-122.712329166667,48.1381333333333
"CSXT.6",-122.4949,47.8507166666667
"CSXT.8",-122.4811,47.7273333333333
"CSXU.10",-122.5414,48.15365
"CSXU.11",-122.661583333333,48.0646666666667
"CSXU.13",-122.612279166667,48.0498791666667
"CSXU.14",-122.311770833333,48.0622708333333
"CSXU.17",-122.479575,47.7858916666667
"CSXU.18",-122.626379166667,47.9917145833333
"CSXU.19",-122.41475952381,47.4100154761905
"CSXU.2",-122.495691666667,47.9638111111111
"CSXU.20",-122.407370833333,47.6078458333333
"CSXU.21",-122.243291666667,47.970125
"CSXU.22",-122.645577777778,47.9521222222222
"CSXU.3",-122.440666666667,48.0715833333333
"CSXU.4",-122.535620833333,47.3839791666667
"CSXU.5",-122.341333333333,47.8616666666667
"CSXU.6",-122.570604166667,47.9440916666667
"CSXU.8",-122.46575,47.9315333333333
"CSXV.1",-122.472095833333,47.6597791666667
"CSXV.1.0",-122.486366666667,47.6890416666667
"CSXV.10",-122.381429166667,47.8441041666667
"CSXV.11",-122.482958333333,47.309025
"CSXV.12",-122.4346,47.7191202380952
"CSXV.13",-122.423391666667,47.3455805555556
"CSXV.14",-122.442545833333,47.5538416666667
"CSXV.15",-122.45425,47.6218611111111
"CSXV.16",-122.6314375,48.0528333333333
"CSXV.17",-122.4483,47.7848291666667
"CSXV.18",-122.385947222222,47.4186166666667
"CSXV.19",-122.357583333333,48.0729166666667
"CSXV.2",-122.6480375,48.10605625
"CSXV.20",-122.3105,47.9939375
"CSXV.4",-122.426841666667,47.8270541666667
"CSXV.5",-122.358333333333,47.8784166666667
"CSXV.7",-122.387361111111,47.8667777777778
"CSXV.8",-122.346425,47.3706416666667
"CSXV.9",-122.395083333333,47.448775
"DBXS.1",-122.908072222222,48.0748111111111
"DBXS.2",-122.852453333333,48.00466
"DBXS.3",-122.840196875,48.0312177083333
"DBXT.1",-122.852057142857,48.0378821428571
"DBXT.2",-122.892343888889,48.0710605555556
"HCNS",-122.676608333333,47.9280848484848
"HCNU",-122.617996875,47.9085833333333
"HCNV",-122.893103921569,47.6367205882353
"HCST",-123.062078921569,47.356218627451
"HCSU",-123.125600416667,47.37768625
"HCSV",-123.122373958333,47.4129317708333
"HCXS.1",-122.810420833333,47.8313625
"HCXS.11",-123.001125,47.3746875
"HCXS.12",-122.607654166667,47.8983625
"HCXS.12.0",-122.59775,47.8604166666667
"HCXS.13",-122.695666666667,47.7828333333333
"HCXS.14.3",-122.934010714286,47.3993130952381
"HCXS.15.10",-122.727375,47.8032083333333
"HCXS.2",-122.812,47.6547291666667
"HCXS.4",-122.665739583333,47.9333708333333
"HCXS.5",-122.756333333333,47.6748333333333
"HCXS.6",-123.069483333333,47.4909166666667
"HCXS.7",-123.15075,47.3523333333333
"HCXS.8",-122.984016666667,47.5983125
"HCXS.9",-122.92155,47.6099666666667
"HCXT.3",-122.723768055556,47.7876777777778
"HCXT.5.1",-123.0972375,47.3691083333333
"HCXT.6",-122.660659722222,47.8317027777778
"HCXT.7",-122.955216666667,47.6212666666667
"HCXT.8",-122.631270833333,47.9015541666667
"HCXT.9",-122.765510416667,47.6907625
"HCXU.11",-122.894129166667,47.6482
"HCXU.12",-122.739458333333,47.7614833333333
"HCXU.13",-123.02155,47.5454833333333
"HCXU.15",-122.870455555556,47.7051833333333
"HCXU.2.1",-122.632005,47.9220983333333
"HCXU.4",-123.107266666667,47.41315
"HCXU.5",-122.640416666667,47.8472083333333
"HCXU.8.7",-122.765329166667,47.7215930555556
"HCXU.9",-122.80875,47.8087416666667
"HCXV.1",-123.104175,47.4459
"HCXV.13",-122.931702777778,47.6223694444444
"HCXV.14.4",-123.053479166667,47.4909583333333
"HCXV.14.7",-123.079079166667,47.469525
"HCXV.3.2",-122.874901666667,47.6648633333333
"HCXV.5",-122.79374047619,47.6783833333333
"HCXV.8",-123.002141666667,47.5567125
"HCXV.9",-123.02615,47.5281666666667
"SJES.1",-122.85385,48.5830583333333
"SJES.2",-122.687725,48.6137733333333
"SJES.3",-122.725016666667,48.7124583333333
"SJES.4",-122.569025,48.5534
"SJET.1",-122.5624,48.526325
"SJET.2",-122.684591666667,48.661325
"SJEU",-122.726275,48.6608833333333
"SJNS",-122.701586111111,48.707725
"SJNU",-122.805656666667,48.7270638888889
"SJNV",-123.028962254902,48.6753397058824
"SJST",-122.691274122807,48.4486833333333
"SJSU",-122.730110555556,48.4279
"SJSV",-123.012645098039,48.5670745098039
"SJWT",-122.894108333333,48.57775
"SJWU",-123.009841666667,48.7485583333333
"SJWV.1",-122.948108333333,48.7299833333333
"SJWV.2",-123.114286458333,48.7209854166667
"SJWV.3",-123.0506,48.5915125
"SJWV.4",-123.074075,48.65525
"SJXS.1",-122.687166666667,48.4594666666667
"SJXS.10",-122.935966666667,48.5522416666667
"SJXS.11",-122.738408333333,48.5796125
"SJXS.12",-122.845575,48.5274041666667
"SJXS.12.0",-122.831858333333,48.5569583333333
"SJXS.13",-122.991255555556,48.6125583333333
"SJXS.14",-122.694925,48.5247791666667
"SJXS.15",-123.006204166667,48.4904083333333
"SJXS.2",-122.900316666667,48.6558416666667
"SJXS.3",-122.784991666667,48.4768791666667
"SJXS.3.0",-122.836533333333,48.4949916666667
"SJXS.4",-122.6755,48.4804083333333
"SJXS.5",-122.851595,48.5994333333333
"SJXS.5.0",-122.800858333333,48.6186416666667
"SJXS.8",-123.084458333333,48.6996666666667
"SJXS.9",-122.865816666667,48.4534333333333
"SJXT.1",-122.6701,48.5412333333333
"SJXT.10",-122.9811625,48.4748916666667
"SJXT.11",-122.7691875,48.4591375
"SJXT.12",-123.10185,48.7004083333333
"SJXT.2",-122.744404166667,48.5493916666667
"SJXT.2.0",-122.763416666667,48.5901583333333
"SJXT.3",-122.947175,48.5367625
"SJXT.5",-122.768783333333,48.5225416666667
"SJXT.6",-122.752120833333,48.4058458333333
"SJXT.7",-122.780741666667,48.4389291666667
"SJXT.8",-122.698245833333,48.6476125
"SJXT.9",-122.763954166667,48.4757
"SJXU.1",-122.97616875,48.4967229166667
"SJXU.2",-122.725779166667,48.6468666666667
"SJXU.3",-122.689433333333,48.4059083333333
"SJXU.4",-123.125329166667,48.683025
"SJXU.5",-122.743336111111,48.717025
"SJXU.6",-122.789652083333,48.7204
"SJXU.7",-122.737068333333,48.4364433333333
"SJXV.1",-123.167158333333,48.4972566666667
"SJXV.10",-123.223983333333,48.6143708333333
"SJXV.11",-123.158930555556,48.7062611111111
"SJXV.2",-123.190322222222,48.5595472222222
"SJXV.3",-123.235025,48.6961416666667
"SJXV.4",-123.058865277778,48.6009513888889
"SJXV.5",-122.982870833333,48.6840416666667
"SJXV.6",-122.970393333333,48.723155
"SJXV.7",-123.183695833333,48.6511458333333
"SJXV.9",-123.052633333333,48.7444625
"SSNT",-122.719841145833,47.2717890625
"SSNU",-122.6717225,47.2430225
"SSNV",-122.649432777778,47.2355838888889
"SSSS",-122.753108333333,47.1195564102564
"SSSU",-122.685820175439,47.1267671052632
"SSSV",-122.672168981481,47.1349467592593
"SSXS.10.5",-122.719133333333,47.2593875
"SSXS.11",-122.915466666667,47.137825
"SSXS.12.0",-122.7845,47.1446666666667
"SSXS.13.6",-122.656715,47.365805
"SSXS.14.9",-122.809772916667,47.32260625
"SSXS.15.2",-122.836988888889,47.2364083333333
"SSXS.16",-122.867741666667,47.2880916666667
"SSXS.17",-122.382083333333,47.334
"SSXS.18",-122.521944444444,47.3823611111111
"SSXS.19.5",-122.699366666667,47.2412166666667
"SSXS.20.1",-122.811744444444,47.34605
"SSXS.21",-122.676166666667,47.1165
"SSXS.22",-122.723688333333,47.178
"SSXS.3",-122.3685,47.4794166666667
"SSXS.4",-122.899583333333,47.1634083333333
